Region,Month,Mean_avg,Mean_std,Mean_total,CHIRPS_avg,TAMSAT_avg
Region1,1,0.407,1.122,466.829,0.392,0.422
Region1,2,0.869,1.857,907.834,0.802,0.936
Region1,3,2.49,3.094,2856.54,2.481,2.5
Region1,4,4.91,4.222,5450.289,4.808,5.012
Region1,5,4.769,4.233,5469.823,4.582,4.956
Region1,6,4.457,4.542,4947.446,4.149,4.765
Region1,7,4.618,4.406,5296.844,4.347,4.889
Region1,8,5.76,4.806,6606.389,5.522,5.998
Region1,9,4.841,4.304,5373.944,4.784,4.898
Region1,10,5.932,4.769,6804.263,5.472,6.393
Region1,11,3.844,3.909,4266.303,3.717,3.97
Region1,12,1.143,2.396,1310.786,1.123,1.162
Region2,1,0.888,1.676,1018.683,0.838,0.939
Region2,2,1.391,2.166,1453.75,1.34,1.442
Region2,3,3.359,3.554,3853.138,3.281,3.437
Region2,4,5.672,4.794,6295.985,5.413,5.931
Region2,5,4.303,4.053,4935.346,3.941,4.664
Region2,6,2.707,3.153,3004.326,2.377,3.036
Region2,7,2.847,3.481,3265.671,2.565,3.129
Region2,8,4.182,3.921,4797.308,3.772,4.593
Region2,9,4.406,3.586,4890.661,4.323,4.489
Region2,10,5.412,4.097,6207.969,4.933,5.892
Region2,11,4.204,3.746,4666.643,4.144,4.264
Region2,12,1.761,2.797,2019.75,1.707,1.815
Region3,1,1.687,3.114,1934.938,1.743,1.63
Region3,2,2.198,3.503,2297.265,2.13,2.266
Region3,3,4.145,4.88,4754.684,4.014,4.276
Region3,4,5.728,5.865,6358.16,5.455,6.001
Region3,5,4.031,4.673,4623.773,3.829,4.234
Region3,6,3.054,4.197,3389.996,2.875,3.233
Region3,7,3.048,4.548,3495.916,2.966,3.13
Region3,8,4.742,5.434,5438.775,4.558,4.925
Region3,9,4.609,4.56,5116.297,4.366,4.853
Region3,10,5.167,5.108,5927.008,4.391,5.944
Region3,11,4.579,4.618,5083.033,4.506,4.652
Region3,12,2.735,4.395,3136.88,2.837,2.632
Region4,1,1.392,2.085,1596.982,1.353,1.432
Region4,2,1.777,2.458,1856.748,1.722,1.832
Region4,3,3.508,3.802,4023.88,3.411,3.606
Region4,4,5.33,5.412,5916.064,4.986,5.673
Region4,5,3.405,4.242,3905.925,3.18,3.63
Region4,6,1.823,2.937,2023.701,1.621,2.026
Region4,7,1.568,2.828,1798.262,1.332,1.803
Region4,8,3.663,4.297,4201.184,3.369,3.956
Region4,9,4.479,3.903,4971.826,4.304,4.654
Region4,10,5.587,4.424,6408.34,5.059,6.115
Region4,11,4.566,3.687,5068.209,4.513,4.619
Region4,12,2.536,3.089,2908.359,2.551,2.52
Region5,1,1.854,2.563,2127.071,1.875,1.834
Region5,2,2.382,3.209,2489.368,2.352,2.412
Region5,3,3.728,4.377,4276.43,3.642,3.814
Region5,4,4.735,5.525,5256.147,4.478,4.992
Region5,5,2.745,3.919,3148.304,2.85,2.64
Region5,6,1.205,2.705,1337.55,1.073,1.337
Region5,7,0.821,2.151,942.032,0.737,0.906
Region5,8,2.493,4.054,2859.651,2.369,2.617
Region5,9,4.0,3.912,4440.04,3.851,4.149
Region5,10,4.939,4.406,5665.472,4.617,5.262
Region5,11,4.416,3.929,4901.881,4.355,4.477
Region5,12,3.129,3.813,3589.31,3.132,3.127
